"","atomic_number","atomic_radius_rahm","atomic_volume","atomic_weight","boiling_point","c6_gb","covalent_radius_cordero","covalent_radius_pyykko","density","dipole_polarizability","electron_negativity","en_allen","en_ghosh","first_ion_en","gs_bandgap","gs_energy","gs_est_bcc_latcnt","gs_est_fcc_latcnt","gs_mag_moment","gs_volume_per","icsd_volume","mendeleev_number","melting_point","molar_volume","num_unfilled","num_valance","num_d_unfilled","num_d_valence","num_p_unfilled","num_p_valence","num_s_unfilled","num_s_valence","period","thermal_conductivity","vdw_radius","vdw_radius_alvarez","vdw_radius_mm3","vdw_radius_uff","Polarizability"
"H",1,154,14.1,1.008,20.28,6.51,31,32,0.0708,4.507107424,2.2,13.61,0.2638,13.598443,7.853,-3.331290765,2.365120549,2.979865165,0,6.615,32.02,103,14.01,11.42,1,1,0,0,0,0,1,1,1,0.1805,110,120,162,288.6,0.666793
"He",2,134,31.8,4.002602,4.216,1.47,28,46,0.147,1.3837467,4.16,24.59,0.442712,24.587387,18.098,0.0011354,2.908733088,3.664774046,0,12.305,19.08,1,0.95,21,0,2,0,0,0,0,0,2,1,0.1513,140,143,153,236.2,0.2050519
"Li",3,220,13.1,6.94,1118.15,1410,128,133,0.534,164,0.98,5.392,0.105093,5.391719,0,-1.86988691,3.213570838,4.048845545,0,16.59333333,21.63,12,553.69,13.02,1,1,0,0,0,0,1,1,2,85,182,212,255,245.1,24.33
"Be",4,219,5,9.0121831,3243,214,96,102,1.848,37.71,1.57,9.323,0.144986,9.3227,0,-3.755038695,2.508239481,3.160183721,0,7.89,8.11,77,1551,4.85,0,2,0,0,0,0,0,2,2,190,153,198,223,274.5,5.6
"B",5,205,4.6,10.81,3931,99.2,84,85,2.34,20.53,2.04,12.13,0.184886,8.29802,1.524,-6.677698154,2.429779429,3.061330249,0,7.1725,7.75,86,2573,4.39,5,3,0,0,5,1,0,2,2,27,192,191,215,408.3,3.03
"C",6,190,5.3,12.011,5100,47.9,73,75,2.25,20.53,2.55,15.05,0.224776,11.2603,4.496,-9.209713655,2.242692341,2.825615289,0,5.64,5.67,95,3820,5.29,4,4,0,0,4,2,0,2,2,140,170,177,204,385.1,1.67
"N",7,179,17.3,14.007,77.4,25.7,71,71,0.808,7.6,3.04,18.13,0.26493,14.5341,6.437,-8.21144121,3.091182017,3.894645292,0,14.76875,22.68,100,63.29,13.54,3,5,0,0,3,3,0,2,2,0.02583,155,166,193,366,1.1
"O",8,171,14,15.999,90.19,16.7,66,63,1.149,5.24,3.44,21.36,0.304575,13.61805,0,-4.756791905,2.630893787,3.314718462,0,9.105,17.36,101,54.8,17.36,2,6,0,0,2,4,0,2,2,0.02658,152,150,182,350,0.802
"F",9,163,17.1,18.99840316,85.01,10.2,57,64,1.108,3.7,3.98,24.8,0.344443,17.4228,1.97,-1.698060958,2.687689729,3.386276865,0,9.7075,16.42,102,53.53,11.2,1,7,0,0,1,5,0,2,2,0.0277,147,146,171,336.4,0.557
"Ne",10,156,16.8,20.1797,27.1,6.91,58,67,1.204,2.67,4.79,28.31,0.38439,21.56454,13.088,0.09403567,2.934893568,3.697734186,0,12.64,23.09,2,48,13.23,0,8,0,0,0,6,0,2,2,0.0491,154,158,160,324.3,0.39432
"Na",11,225,23.7,22.98976928,1156.1,1570,166,155,0.971,162.7,0.93,5.14,0.093214,5.139076,0,-1.260241383,3.88167309,4.890601634,0,29.24333333,39.76,11,370.96,23.78,1,1,0,0,0,0,1,1,3,140,227,250,270,298.3,24.11
"Mg",12,240,14,24.305,1363,629,141,139,1.738,70.89,1.31,7.646,0.121644,7.646235,0,-1.54227231,3.577326635,4.50714913,0,22.89,23.48,73,922,14,0,2,0,0,0,0,0,2,3,160,173,251,243,302.1,10.6
"Al",13,239,10,26.9815385,2740,520,121,126,2.6989,46,1.61,9.539,0.150078,5.985768,0,-3.74542312,3.206237833,4.039606536,0,16.48,16.61,80,933.5,10,5,3,0,0,5,1,0,2,3,235,184,225,236,449.9,6.8
"Si",14,232,12.1,28.085,2628,308,111,116,2.33,37.31,1.9,11.33,0.178503,8.15168,0.773,-5.424918005,3.444849839,4.340238825,0,20.44,20.02,85,1683,12.06,4,4,0,0,4,2,0,2,3,150,210,219,229,429.5,5.53
"P",15,223,17,30.973762,553,187,107,111,1.82,24.93,2.19,13.33,0.206931,10.48669,1.625,-5.400509043,3.560590636,4.486063093,0,22.5702381,18.99,90,317.3,17.02,3,5,0,0,3,3,0,2,3,0.236,180,190,222,414.7,3.63
"S",16,214,15.5,32.06,717.824,140,105,103,2.07,24.93,2.58,15.31,0.23596,10.36001,2.202,-4.097216719,3.722284555,4.689784664,0,25.786875,25.76,94,386,15.53,2,6,0,0,2,4,0,2,3,0.205,180,189,215,403.5,2.9
"Cl",17,206,18.7,35.45,238.6,97.1,102,99,1.56,24.93,3.16,16.97,0.263803,12.96763,2.493,-1.784433755,3.65918124,4.610279469,0,24.4975,29.05,99,172.2,17.39,1,7,0,0,1,5,0,2,3,0.0089,175,182,207,394.7,2.18
"Ar",18,197,24.2,39.948,87.3,67.4,106,96,1.4,11.07,3.24,19.17,0.2922,15.75961,9.26,0.05854104,3.850300758,4.851074973,0,28.54,36.3,3,83.8,22.56,0,8,0,0,0,6,0,2,3,0.01772,188,194,199,386.8,1.6411
"K",19,234,45.3,39.0983,1047,3910,203,196,0.856,290.6,0.82,4.34,0.0981896,4.3406633,0,-1.097539713,5.268200874,6.637517176,0,73.10666667,75.63,10,336.8,45.94,1,1,0,0,0,0,1,1,4,100,275,273,309,381.2,43.06
"Ca",20,270,29.9,40.078,1757,2230,176,171,1.55,169,1,6.113,0.1154119,6.11316,0,-1.948329565,4.227260324,5.326014266,0,37.77,44.19,16,1112,26.2,0,2,0,0,0,0,0,2,4,200,231,262,281,339.9,25
"Sc",21,263,15,44.955908,3104,1570,170,148,2.99,142.28,1.36,7.042,0.1193833,6.56149,0,-6.28551309,3.542874021,4.463741557,6.35e-06,22.235,24.96,19,1814,15,9,3,9,1,0,0,0,2,4,16,215,258,261,329.5,17.8
"Ti",22,257,10.6,47.867,3560,1200,160,136,4.54,114.34,1.54,8.17,0.1233637,6.82812,0,-7.77522712,3.219799121,4.056692689,2.25e-05,16.69,17.67,51,1933,10.64,8,4,8,2,0,0,0,2,4,22,211,246,239,317.5,14.6
"V",23,252,8.35,50.9415,3650,955,153,134,6.11,97.34,1.63,9.063,0.1273344,6.74619,0,-8.93926069,2.963255488,3.733467966,0,13.01,13.88,54,2160,8.32,7,5,7,3,0,0,0,2,4,31,207,242,229,314.4,12.4
"Cr",24,233,7.23,51.9961,2945,709,139,122,7.18,78.4,1.66,9.77,0.1313053,6.76651,0,-9.50571654,2.818080279,3.550558664,0,11.19,12.01,57,2130,7.23,6,6,5,5,0,0,1,1,4,94,206,245,225,302.3,11.6
"Mn",25,242,7.39,54.938044,2235,635,150,119,7.21,66.8,1.55,10.34,0.1352844,7.43402,0,-9.02056525,2.757836487,3.474656242,0.000310121,10.48758621,12.2,60,1517,7.35,5,7,5,5,0,0,0,2,4,7.8,205,245,224,296.1,9.4
"Fe",26,226,7.1,55.845,3023,548,142,116,7.874,63.93,1.83,10.64,0.1392532,7.9024,0,-8.28548436,2.778923379,3.501224062,2.1106628,10.73,11.78,61,1808,7.09,4,8,4,6,0,0,0,2,4,80,204,244,223,291.2,8.4
"Co",27,222,6.7,58.933194,3143,461,138,111,8.9,57.71,1.88,10.86,0.1432363,7.88101,0,-7.080389145,2.736406748,3.447656463,1.5484712,10.245,11.12,64,1768,6.67,3,9,3,7,0,0,0,2,4,100,200,240,223,287.2,7.5
"Ni",28,219,6.6,58.6934,3005,393,124,110,8.902,51.1,1.91,11.13,0.1472068,7.6398,0,-5.54632457,2.74306794,3.456049039,0.5953947,10.32,10.86,67,1726,6.59,2,10,2,8,0,0,0,2,4,91,197,240,222,283.4,6.8
"Cu",29,217,7.1,63.546,2840,264,132,112,8.96,46.5,1.9,10.96,0.1511716,7.72638,0,-3.68065482,2.807970487,3.537821124,0,11.07,11.81,72,1356.6,7.11,1,11,0,10,0,0,1,1,4,400,196,238,226,349.5,6.2
"Zn",30,222,9.2,65.38,1180,276,122,118,7.133,38.8,1.65,9.395,0.1551518,9.394199,0,-1.239999915,3.033694224,3.822215211,0,13.96,15.19,76,692.73,9.16,0,12,0,10,0,0,0,2,4,120,201,239,229,276.3,5.75
"Ga",31,233,11.8,69.723,2676,456,122,124,5.91,49.9,1.81,10.39,0.1723773,5.999301,0,-3.012255303,3.353549368,4.225207441,0,18.8575,19.6,81,302.93,11.8,5,13,0,10,5,1,0,2,4,29,187,232,246,438.3,8.12
"Ge",32,234,13.6,72.63,3103,365,120,121,5.323,39.43,2.01,11.8,0.1895892,7.89943,0.383,-4.616039545,3.583307493,4.514684539,0,23.005,22.23,84,1210.6,13.63,4,14,0,10,4,2,0,2,4,60,211,229,244,428,5.84
"As",33,231,13.1,74.921595,876,260,119,121,5.73,29.8,2.18,13.08,0.2068208,9.7886,0,-4.650889115,3.539684396,4.459722881,0,22.175,21.52,89,1090,12.95,3,15,0,10,3,3,0,2,4,50,185,188,236,423,4.31
"Se",34,224,16.5,78.971,958.1,233,120,116,4.79,26.24,2.55,14.34,0.2240328,9.75239,0.799,-3.47079191,3.728679007,4.697841169,0,25.92,29.81,93,490,16.42,2,16,0,10,2,4,0,2,4,0.52,190,182,229,420.5,3.77
"Br",35,219,23.5,79.904,331.9,187,120,114,3.12,21.8,2.96,15.88,0.2412578,11.8138,1.457,-1.583025338,3.892116444,4.903759436,0,29.48,65.14,98,265.9,19.78,1,17,0,10,1,5,0,2,4,0.12,185,186,222,418.9,3.05
"Kr",36,212,32.2,83.798,120.85,136,116,117,2.155,17.075,3,17.54,0.2584813,13.99961,7.535,0.08753524,4.162477568,5.244393107,0,36.06,44.81,4,116.6,27.99,0,18,0,10,0,6,0,2,4,0.00943,202,207,215,414.1,2.4844
"Rb",37,240,55.9,85.4678,961,4660,220,210,1.532,318.8,0.82,4.177,0.104686,4.177128,0,-0.963335025,5.661284779,7.132771862,0,90.7225,93.09,9,312.2,55.76,1,1,0,0,0,0,1,1,5,58,303,321,325,411.4,47.24
"Sr",38,279,33.7,87.62,1657,3230,195,185,2.54,186,0.95,5.695,0.1185082,5.69485,0,-1.6828136,4.768954732,6.008506453,0,54.23,56.08,15,1042,33.94,0,2,0,0,0,0,0,2,5,35,249,284,300,364.1,27.6
"Y",39,274,19.8,88.90584,3611,2600,190,163,4.47,153,1.22,6.631,0.1216986,6.2173,0,-6.464599775,4.015150874,5.058773104,0,32.365,32.97,25,1795,19.88,9,3,9,1,0,0,0,2,5,17,232,275,271,334.5,22.7
